,DossierID,org,IsChinese,hsic,Industry Description,Country,hasFacebook,hasTwitter,hasWeibo,hasWeChat,hasTencentWeibo,ip201512,ip201601,ip201602,ip201603,ip201604,ip201605,ip201606,ip201607,ip201608,ip201609,ip201610,ip201611,ip201612,ip201701,ip201702,ip201703,as201512,as201601,as201602,as201603,as201604,as201605,as201606,as201607,as201608,as201609,as201610,as201611,as201612,as201701,as201702,as201703,nb201512,nb201601,nb201602,nb201603,nb201604,nb201605,nb201606,nb201607,nb201608,nb201609,nb201610,nb201611,nb201612,nb201701,nb201702,nb201703,ph201512,ph201601,ph201602,ph201603,ph201604,ph201605,ph201606,ph201607,ph201608,ph201609,ph201610,ph201611,ph201612,ph201701,ph201702,ph201703,ov201512,ov201601,ov201602,ov201603,ov201604,ov201605,ov201606,ov201607,ov201608,ov201609,ov201610,ov201611,ov201612,ov201701,ov201702,ov201703,av201512,av201601,av201602,av201603,av201604,av201605,av201606,av201607,av201608,av201609,av201610,av201611,av201612,av201701,av201702,av201703,cv201512,cv201601,cv201602,cv201603,cv201604,cv201605,cv201606,cv201607,cv201608,cv201609,cv201610,cv201611,cv201612,cv201701,cv201702,cv201703,pv201512,pv201601,pv201602,pv201603,pv201604,pv201605,pv201606,pv201607,pv201608,pv201609,pv201610,pv201611,pv201612,pv201701,pv201702,pv201703
0,1001,LiaoHe Oilfield Telecommunication Company,Y,631200,Web portals,CN,0,0,0,1,0,0,507904,458752,507904,491520,491520,327680,0,245760,491520,507904,491520,507904,507904,458752,507904,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93,84,93,90,90,60,0,45,90,93,90,93,93,84,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,67,42,33,28,31,31,30,44,60,62,62,71,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1002,Beijing Expo Cloud Technology Co Ltd,Y,631100,"data processing, hosting and related activities",CN,0,0,0,0,0,0,15872,14336,40704,22272,22272,10240,0,7680,18176,23808,23040,23808,23808,21504,23808,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,62,56,66,54,51,40,0,30,71,93,90,93,93,84,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11911,31,30,34,93,33,64,34,26,19,244,261,54,62,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0
2,1003,Shenzhen Aosida Communication Co Ltd,Y,611000,Telecommunications network operation ,CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1004,Magna Automotive Technology and Service(Shanghai)Co Ltd,Y,290000,Body assembly of motor vehicles ,CN,0,0,1,1,0,0,15872,14336,15872,15360,15360,10240,0,7680,15360,15872,15360,15872,15872,14336,15872,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,62,56,62,60,60,40,0,30,60,62,60,62,62,56,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1005,Guizhou Wing Cloud High Technology Ltd,Y,631100,"Data processing, hosting and related activities",CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1006,China National Petroleum Corporation,Y,60000,Extraction of crude petroleum and natural gas,CN,0,0,1,1,0,0,13586432,12271616,13586432,13148160,13148160,8765440,0,6574080,13148160,13586432,13148160,13586432,13504512,12156928,13459456,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1395,1260,1395,1350,1350,900,0,675,1350,1395,1350,1395,1375,1232,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1736,1734,4390,3434,5345,5103,2914,1996,1200,599,861,800,709,868,0,0,0,13,35,45,0,0,9,5,0,0,1,0,0,0
6,1007,Beijing Shidaihongyuan Network Communication Co Ltd,Y,631100,"Data processing, hosting and related activities",CN,0,0,0,0,0,0,147384576,115472128,134188032,125453568,124329728,83559168,0,59776512,119797760,122231808,119182080,123430400,124395264,112411136,125028352,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,9018,7603,8872,8460,8337,5556,0,4225,8483,8313,8149,8385,8858,7962,8734,3,2,1,9,64,3,6,0,0,0,0,0,0,0,0,0,7,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,10,67,3,6,0,0,0,0,0,0,0,0,0,0,35,17682,117465,36482,24701,603255,186043,66366,9894,1332,1057,1872,1471,2458,4154,0,0,54,1756,858,214,182,0,69,184,41,143,69,30,60,88
7,1010,Founder Group,Y,642000,Investment and holding companies,CN,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1011,CYPRESS TELECOM (CHINA) LIMITED,N,631100,"Data processing, hosting and related activities",CN,0,0,0,0,0,0,39680,35840,39680,37632,30720,20480,0,15360,30720,31744,30720,31744,31744,28672,31744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,93,84,93,87,60,40,0,30,60,62,60,62,62,56,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,28,26,29,2,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1012,Beijing Digiland media technology Co Ltd,Y,751200,"Multi-media, visual and graphic design activities ",CN,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
