,DossierID,as_union_201601,as_union_201602,as_union_201603,as_union_201604,as_union_201605,as_union_201606,as_union_201608,as_union_201609,as_union_201610,as_union_201611,as_union_201612,as_union_201701,as_union_201702,as_union_201703,as_union_201704,as_union_201705,ip_union_201601,ip_union_201602,ip_union_201603,ip_union_201604,ip_union_201605,ip_union_201606,ip_union_201608,ip_union_201609,ip_union_201610,ip_union_201611,ip_union_201612,ip_union_201701,ip_union_201702,ip_union_201703,ip_union_201704,ip_union_201705,nb_union_201601,nb_union_201602,nb_union_201603,nb_union_201604,nb_union_201605,nb_union_201606,nb_union_201608,nb_union_201609,nb_union_201610,nb_union_201611,nb_union_201612,nb_union_201701,nb_union_201702,nb_union_201703,nb_union_201704,nb_union_201705,org
0,1001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,LiaoHe Oilfield Telecommunication Company
1,1002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Beijing Expo Cloud Technology Co Ltd
2,1003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6144,6144,6144,6144,6144,6144,6144,6144,6144,6144,6144,6144,6144,6144,6144,6144,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,Shenzhen Aosida Communication Co Ltd
3,1004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Magna Automotive Technology and Service(Shanghai)Co Ltd
4,1005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guizhou Wing Cloud High Technology Ltd
5,1006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3328,3328,3328,3328,3328,3072,3072,3072,3072,3072,3072,3072,3584,3584,3584,3584,6,6,6,6,6,5,5,5,5,5,5,5,7,7,7,7,China National Petroleum Corporation
6,1007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,512,512,512,768,768,768,768,768,768,768,768,768,768,768,768,768,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,Beijing Shidaihongyuan Network Communication Co Ltd
7,1010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Founder Group
8,1011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CYPRESS TELECOM (CHINA) LIMITED
9,1012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beijing Digiland media technology Co Ltd
10,1013,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7680,6656,6656,6400,6400,7424,33024,34048,37120,37120,37120,37120,14592,12544,12288,12544,9,8,8,7,7,8,33,34,34,34,34,34,12,10,9,10,NewMedia Express Pte Ltd
11,1015,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,156928,156928,157696,156672,156672,156672,156672,156928,157440,157440,163584,163584,171264,171264,170240,171264,28,28,31,28,28,28,28,29,31,31,34,34,36,36,33,36,BEIJING CBD TELECOM Co Ltd
12,1016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YunGang Technology Co Ltd
13,1017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2304,0,10240,8448,2048,6912,7936,6656,0,0,768,37888,37632,37632,37632,0,2,0,11,11,1,8,9,7,0,0,3,10,9,9,9,Beijing Baidu Netcom Science and Technology Co Ltd
14,1021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beijing Capital Public Information Platform
15,1023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Changhong IT information Products Co Ltd
16,1024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beijing Kuanjie Net communication technology Ltd
17,1025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beijing Swifton inc
18,1026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beijing JingTian Technology Co Ltd
19,1027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3328,12544,4608,4608,4864,5120,6400,5376,8704,8960,5376,4352,9984,11008,18176,11008,5,12,7,7,8,9,11,10,14,18,13,12,20,21,20,21,LONGTEL NETWORKS & TECHNOLOGIES LTD
20,1028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beijing Haves Cinda Sci-Tech Development Co Ltd
21,1030,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,155648,155648,155648,155648,155648,155648,155648,155648,155648,155648,155648,155648,155648,155648,155648,155648,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,Beijing University of Chemical Technology
